Cruising and e-dates: a new context for sexual encounters among young men who have sex with men.	Cruising y e-citas: un nuevo contexto para los encuentros sexuales entre hombres jÃ³venes que tienen sexo con hombres.
Information and communication technologies and new forms of sociability: possibilities and challenges for Public Health.	As tecnologias da informaÃ§Ã£o e comunicaÃ§Ã£o e novas formas de sociabilidade: possibilidades e desafios para o campo da saÃºde coletiva.
New President: A new direction and a new goal to reach together.	Nuevo presidente: nuevo rumbo y nuevo puerto al que llegar juntos.
Adult pneumoccocical sepsis: Should we rule out congenital anesplenia?	Sepsis neumocÃ³cica del adulto: Â¿debemos descartar una asplenia congÃ©nita?
The minimun island.	La isla mÃ­nima.
Drug-induced acute pancreatitis.	Pancreatitis aguda farmacolÃ³gica.
Gastric hemorrhage after ingestion of a blister-wrapped tablet.	Hemorragia digestiva alta por ingestiÃ³n de un comprimido en blÃ­ster.
Post-natally acquired torticollis: Giant cavernous cerebellum.	Lactante con tortÃ­colis adquirida: cavernoma gigante cerebeloso.
Paediatric rheumatology: The importance of anamnesis and physical examination.	ReumatologÃ­a pediÃ¡trica: la importancia de la anamnesis y la exploraciÃ³n.
FDG PET/CT imaging of metastatic renal squamous cell carcinoma.	LesiÃ³n infecciosa del pabellÃ³n auricular en el trÃ³pico.
Ventilation/Perfusion SPECT lung scintigraphy and computed tomography pulmonary angiography in patients with clinical suspicion of pulmonary embolism.	EpidemiologÃ­a de las lesiones sufridas por los jugadores durante el XVI Campeonato Sudamericano Sub-17 de FÃºtbol.
Efficacy of percutaneous coronary intervention in patients with chronic ischaemic heart disease.	Utilidad del intervencionismo coronario percutÃ¡neo en el paciente con cardiopatÃ­a isquÃ©mica crÃ³nica.
A disturbing electrocardiogram: Inverted T waves in the left precordial leads of an African-American athlete.	Un electrocardiograma inquietante: ondas T negativas en precordiales izquierdas de un deportista afroamericano.
Parotid mass as presenting symptom of Hodgkin lymphoma.	Masa parotÃ­dea como forma de presentaciÃ³n de un linfoma de Hodgkin.
an unacceptable term in technical Spanish.	un tÃ©rmino tÃ©cnico inaceptable.
Gastric adenomyoma clinically simulating hypertrophic pyloric stenosis.	Adenomioma gástrico que simula clínicamente una estenosis hipertrófica de píloro.
Global funding for papers of excellence on smoking, 2010-2014.	Anatomía de la financiación mundial de artículos de excelencia en tabaquismo, 2010-2014.
Epidemiological trends in bovine paralytic rabies in central Mexico, 2001-2013.	Comportamiento epidemiológico de la rabia paralítica bovina en la región central de México, 2001-2013.
Infant mortality from congenital malformations in Chile: temporal and spatial analysis, 1997-2011.	Mortalidad infantil por malformaciones congénitas en Chile: análisis temporal y espacial, 1997-2011.
Public health and intellectual property in Cuba: a conceptual map.	Salud pública y propiedad intelectual en Cuba: mapa conceptual.
Infected concha bullosa mimicking a malignant lesion on (18)F-FDG PET/CT.	Liquen plano folicular causado por una peluca: fenómeno de Koebner inusual.
Unusual Ultrasound Appearance of Subungual Keratoacanthoma With Clinical and Histological Correlation.	Presentación ecográfica no habitual de queratoacantoma subungueal con correlación clínica e histológica.
Primum Non Nocere or How to Create a Culture of Patient Safety.	Primum non nocere, o como trabajar con seguridad para el paciente.
Update on the Use of Ultrasound in Vascular Anomalies.	Actualización en ecografía de las anomalías vasculares.
Malaria and intestinal protozoa.	Malaria y protozoos intestinales.
Pneumomediastinum caused by rupture of pneumatoceles.	Neumomediastino por rotura de neumatoceles.
Chronic diseases as a priority for the public health surveillance system in Spain.	Las enfermedades crónicas como prioridad de la vigilancia de la salud pública en España.
Gender differences in Peruvian researchers according to Google Scholar, 2015.	Diferencia de género en investigadores peruanos según Google Académico, 2015.
Hospital detention in tuberculosis control.	La hospitalización terapéutica obligatoria en el control de la tuberculosis.
Graduates' opinions on the utility of training in gerontology.	La opinión de las personas egresadas sobre la utilidad de la formación en gerontología.
Emergency contraception and conscientious objection: an ongoing debate.	Anticoncepción de urgencia y objeción de conciencia: un debate sin cerrar.
Hyperparathyroidism in patients with stones.	 Influence of deficit 25-OH vitamin D.	Hiperparatiroidismo en pacientes con litiasis.	 Influencia del déficit de 25-OH vitamina D.
Birt-Hogg-Dubé syndrome and colon polyps.	Síndrome de Birt-Hogg-Dubé y pólipos en el colon.
Placenta percreta with bladder and rectum invasion.	Percretismo placentario con invasión de vejiga y recto.
Progression in children with intestinal failure at a referral hospital in Medellín, Colombia.	Evolución en niños con falla intestinal en un hospital de referencia en Medellín, Colombia.
